City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,tuktoyaktuk,CA,2021-01-16 19:03:14,69.4541,-133.0374,-2.2,78,90,12.66
164,chuy,UY,2021-01-16 19:03:39,-33.6971,-53.4616,85.12,61,5,5.1
165,villa maria,AR,2021-01-16 19:03:39,-32.4075,-63.2402,82.56,30,100,25.88
166,castro,BR,2021-01-16 19:03:39,-24.7911,-50.0119,77.25,70,100,8.19
167,noumea,NC,2021-01-16 19:01:24,-22.2763,166.4572,80.01,94,90,2.3
168,mahebourg,MU,2021-01-16 19:03:39,-20.4081,57.7,80.6,83,40,6.91
169,mehamn,NO,2021-01-16 19:03:39,71.0357,27.8492,35.19,87,98,16.55
170,henties bay,NA,2021-01-16 19:03:39,-22.116,14.2845,71.01,79,4,5.01
171,udachnyy,RU,2021-01-16 19:03:39,66.4167,112.4,-33.18,80,100,12.88
172,college,US,2021-01-16 19:03:40,64.8569,-147.8028,8.01,77,20,3.49
173,ishigaki,JP,2021-01-16 19:00:04,24.3448,124.1572,63.52,83,100,31.21
174,tuatapere,NZ,2021-01-16 19:03:40,-46.1333,167.6833,63.0,73,100,10.0
175,tokur,RU,2021-01-16 19:03:40,53.1333,132.9,-24.81,86,100,1.9
176,kavieng,PG,2021-01-16 19:03:40,-2.5744,150.7967,82.56,81,24,18.88
177,voyvozh,RU,2021-01-16 19:03:40,62.892,54.9635,-8.93,91,98,7.76
178,ballina,AU,2021-01-16 19:03:40,-28.8667,153.5667,64.4,88,26,3.44
179,easley,US,2021-01-16 19:03:40,34.8298,-82.6015,43.0,45,90,23.02
180,conceicao do araguaia,BR,2021-01-16 19:03:40,-8.2578,-49.2647,81.07,72,100,3.8
181,clyde river,CA,2021-01-16 19:02:51,70.4692,-68.5914,3.2,85,90,11.5
182,scarborough,GB,2021-01-16 19:03:41,54.2797,-0.4044,42.01,90,0,4.0
183,namatanai,PG,2021-01-16 19:03:41,-3.6667,152.4333,80.24,83,43,11.61
184,puerto escondido,MX,2021-01-16 19:03:41,15.85,-97.0667,82.4,69,40,6.91
185,hualmay,PE,2021-01-16 19:01:04,-11.0964,-77.6139,75.4,70,37,10.87
186,twentynine palms,US,2021-01-16 19:03:41,34.1356,-116.0542,73.4,12,20,13.8
187,svetlogorsk,BY,2021-01-16 19:03:41,52.6333,29.7333,-2.29,92,13,4.03
188,prince george,CA,2021-01-16 18:59:34,53.9166,-122.753,33.01,74,75,11.5
189,poum,NC,2021-01-16 19:03:41,-20.2333,164.0167,81.05,82,100,5.26
190,lompoc,US,2021-01-16 19:03:41,34.6391,-120.4579,78.8,22,1,12.66
191,saint george,US,2021-01-16 18:59:51,37.1041,-113.5841,57.0,28,1,3.44
192,san mateo del mar,MX,2021-01-16 19:03:41,16.2,-95.0,78.31,62,0,36.19
193,skjervoy,NO,2021-01-16 19:03:41,70.0311,20.9714,37.8,90,99,16.89
194,san cristobal,VE,2021-01-16 19:03:21,7.7669,-72.225,87.8,51,40,11.5
195,badin,PK,2021-01-16 19:03:42,24.656,68.8384,62.13,22,0,8.97
196,axim,GH,2021-01-16 19:03:42,4.8699,-2.2405,80.1,77,99,7.94
197,santa isabel,BR,2021-01-16 19:01:51,-23.3156,-46.2214,86.0,61,75,8.05
198,shaunavon,CA,2021-01-16 19:03:42,49.6501,-108.4181,30.2,59,0,18.41
199,kahului,US,2021-01-16 19:03:24,20.8947,-156.47,77.0,61,20,7.76
200,seoul,KR,2021-01-16 19:00:22,37.5683,126.9778,17.6,67,0,3.44
201,milos,GR,2021-01-16 19:03:42,36.75,24.4333,48.2,66,100,18.41
202,luderitz,NA,2021-01-16 19:03:42,-26.6481,15.1594,66.6,70,0,18.1
203,estelle,US,2021-01-16 19:03:42,29.8458,-90.1067,54.0,40,1,6.91
204,the valley,AI,2021-01-16 19:03:42,18.217,-63.0578,84.2,69,20,14.97
205,talnakh,RU,2021-01-16 19:03:42,69.4865,88.3972,-27.0,70,0,6.71
206,adrar,MR,2021-01-16 19:02:14,20.5022,-10.0711,64.18,19,100,13.15
207,el alto,PE,2021-01-16 19:03:43,-4.2714,-81.2147,80.6,61,0,12.66
208,puerto leguizamo,CO,2021-01-16 19:03:43,-0.1934,-74.7819,92.43,41,55,6.11
209,bethel,US,2021-01-16 19:03:43,41.3712,-73.414,42.8,81,90,6.91
210,mnogovershinnyy,RU,2021-01-16 19:03:43,53.9353,139.9242,-24.45,83,0,2.57
211,funtua,NG,2021-01-16 19:03:43,11.5233,7.3081,71.08,19,0,9.22
212,georgetown,MY,2021-01-16 19:03:43,5.4112,100.3354,80.6,83,20,4.32
213,tasiilaq,GL,2021-01-16 19:03:43,65.6145,-37.6368,30.2,93,90,13.8
214,krugersdorp,ZA,2021-01-16 19:03:43,-26.0858,27.7752,75.2,69,20,6.11
215,nyurba,RU,2021-01-16 19:03:43,63.2842,118.3319,-44.9,79,96,5.86
216,bafq,IR,2021-01-16 19:03:43,31.6128,55.4107,50.61,41,0,0.6
217,alghero,IT,2021-01-16 19:03:11,40.5589,8.3181,41.0,93,0,2.3
218,kangaatsiaq,GL,2021-01-16 19:03:43,68.3065,-53.4641,5.47,86,0,12.03
219,hithadhoo,MV,2021-01-16 19:02:20,-0.6,73.0833,81.21,75,90,11.52
220,krasnyy chikoy,RU,2021-01-16 19:03:44,50.3643,108.7512,0.5,89,100,8.57
221,mgandu,TZ,2021-01-16 19:03:44,-5.95,34.1333,62.15,93,52,1.86
222,magdagachi,RU,2021-01-16 19:03:44,53.45,125.8,-20.27,88,100,2.06
223,tutoia,BR,2021-01-16 19:03:44,-2.7619,-42.2744,87.8,66,20,16.11
224,cayenne,GF,2021-01-16 19:03:44,4.9333,-52.3333,84.2,65,75,13.8
225,miraflores,MX,2021-01-16 19:03:44,19.2167,-98.8083,70.0,34,75,6.91
226,san alberto,CO,2021-01-16 19:03:44,7.7611,-73.3922,90.68,43,29,4.76
227,provideniya,RU,2021-01-16 19:03:44,64.3833,-173.3,-3.37,84,100,9.01
228,pacific grove,US,2021-01-16 19:03:44,36.6177,-121.9166,69.01,63,1,3.44
229,marigot,MF,2021-01-16 19:03:44,18.0667,-63.0833,84.2,58,20,11.5
230,mount gambier,AU,2021-01-16 19:03:44,-37.8333,140.7667,46.4,100,75,5.75
231,ilulissat,GL,2021-01-16 19:03:45,69.2167,-51.1,12.2,52,1,5.75
232,ancud,CL,2021-01-16 19:03:45,-41.8697,-73.8203,68.0,63,75,5.75
233,boa viagem,BR,2021-01-16 19:03:45,-5.1275,-39.7322,91.83,37,42,5.93
234,touros,BR,2021-01-16 19:03:45,-5.1989,-35.4608,84.2,54,0,14.97
235,portland,US,2021-01-16 18:59:46,45.5234,-122.6762,46.99,76,75,2.48
236,caconda,AO,2021-01-16 19:03:45,-13.7333,15.0667,63.57,60,89,7.7
237,najran,SA,2021-01-16 19:03:45,17.4924,44.1277,62.6,34,0,0.47
238,ankang,CN,2021-01-16 19:03:45,32.68,109.0172,35.37,76,100,2.37
239,toftlund,DK,2021-01-16 19:03:45,55.1886,9.0693,32.0,86,75,6.91
240,oriximina,BR,2021-01-16 18:58:48,-1.7656,-55.8661,92.08,41,44,6.38
241,carauari,BR,2021-01-16 19:03:45,-4.8828,-66.8958,82.11,88,99,1.95
242,kurya,RU,2021-01-16 19:03:46,51.6003,82.2888,9.28,86,100,2.93
243,puerto ayora,EC,2021-01-16 19:03:46,-0.7393,-90.3518,80.6,74,75,11.5
244,lucapa,AO,2021-01-16 19:03:46,-8.4192,20.7447,66.87,96,14,2.53
245,lloydminster,CA,2021-01-16 19:03:46,53.2835,-110.0016,32.0,64,20,16.11
246,amahai,ID,2021-01-16 19:03:46,-3.3333,128.9167,81.0,88,100,5.95
247,vila franca do campo,PT,2021-01-16 19:03:16,37.7167,-25.4333,62.01,100,75,10.36
248,wilmington,US,2021-01-16 19:02:28,34.2257,-77.9447,50.0,43,90,21.85
249,bend,US,2021-01-16 19:02:34,44.0582,-121.3153,44.6,81,20,4.61
250,los llanos de aridane,ES,2021-01-16 19:03:46,28.6585,-17.9182,62.6,77,75,8.05
251,sabaudia,IT,2021-01-16 19:03:46,41.3003,13.0282,44.01,77,98,4.81
252,puerto madero,MX,2021-01-16 19:03:46,14.7208,-92.4215,89.6,62,20,2.3
253,klamath falls,US,2021-01-16 19:01:52,42.2249,-121.7817,35.6,100,90,3.44
254,ponta do sol,PT,2021-01-16 19:03:47,32.6667,-17.1,57.99,57,92,1.99
255,taltal,CL,2021-01-16 19:01:09,-25.4,-70.4833,68.2,61,15,5.1
256,manicore,BR,2021-01-16 19:03:12,-5.8092,-61.3003,85.66,76,100,0.34
257,quetigny,FR,2021-01-16 19:03:47,47.3167,5.1167,30.2,93,90,11.5
258,victoria,HK,2021-01-16 19:02:55,22.2855,114.1577,62.01,77,93,1.99
259,mission,US,2021-01-16 18:59:10,26.2159,-98.3253,70.0,22,1,3.44
260,comodoro rivadavia,AR,2021-01-16 19:03:34,-45.8667,-67.5,69.8,46,20,6.91
261,flin flon,CA,2021-01-16 19:00:08,54.7682,-101.865,21.2,86,90,9.22
